name,industry,listing_chapter,listing_date,quarter,hk_substantive,hq_location,evidence_url,reviewer,review_date,notes
博安生物,biomed,18A,2022-12-30,2022Q4,0,煙臺,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1219/2022121900010_c.pdf,賈贇,2026-09-18,招股書（䈎165）寫明公司中國總部在上海煙臺
康沣生物-B,biomed,18A,2022-12-30,2022Q4,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1216/2022121600016_c.pdf,賈贇,2026-09-18,招股書（䈎128）寫明公司總部在上海
绿竹生物-B,biomed,18A,2023-05-08,2023Q2,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042500040_c.pdf,賈贇,2026-09-18,招股書（䈎135）寫明公司總部在北京
科笛-B,biomed,18A,2023-06-12,2023Q2,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0531/2023053100050_c.pdf,賈贇,2026-09-18,招股書（䈎155）寫明公司總部在上海
来凯医药-B,biomed,18A,2023-06-29,2023Q2,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0616/2023061600014_c.pdf,賈贇,2026-09-18,招股書（䈎165）寫明公司總部在上海
科伦博泰生物B,biomed,18A,2023-07-11,2023Q3,0,成都,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0629/2023062900044_c.pdf,賈贇,2026-09-18,招股書（䈎157）寫明公司總部在成都
宜明昂科-B,biomed,18A,2023-09-05,2023Q3,0,上海,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0824/2023082400038_c.pdf,賈贇,2026-09-18,招股書（䈎137）寫明公司總部在上海
友芝友生物-B,biomed,18A,2023-09-25,2023Q3,0,武漢,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0913/2023091300014_c.pdf,賈贇,2026-09-18,招股書（䈎192）寫明公司中國總辦事處在武漢
君圣泰医药-B,biomed,18A,2023-12-22,2023Q4,0,深圳,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1214/2023121400046_c.pdf,賈贇,2026-09-18,招股書（䈎135）寫明公司中國總辦事處在深圳
荃信生物-B,biomed,18A,2024-03-20,2024Q1,0,泰州,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0312/2024031200008_c.pdf,賈贇,2026-09-18,招股書（䈎143）寫明公司總部在泰州
盛禾生物-B,biomed,18A,2024-05-24,2024Q2,0,湖州、南京,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0516/2024051600014_c.pdf,賈贇,2026-09-18,招股書（䈎176）寫明公司總部在湖州、南京
XtalPi Holdings,ai,18C,2024-06-13,2024Q2,0,深圳,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0604/2024060400066_c.pdf,賈贇,2026-09-18,招股書（䈎197）寫明公司總部在深圳
Black Sesame International Holding,ai,18C,2024-08-08,2024Q3,0,武漢,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073100016_c.pdf,賈贇,2026-09-18,招股書（䈎134）寫明公司中國總部在武漢
同源康医药-B,biomed,18A,2024-08-20,2024Q3,0,湖州,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0812/2024081200006_c.pdf,賈贇,2026-09-18,招股書（䈎159）寫明公司總部在湖州
华昊中天医药-B,biomed,18A,2024-10-31,2024Q4,0,北京,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1023/2024102300016_c.pdf,賈贇,2026-09-18,招股書（䈎137）寫明公司中國總部在北京
Shenzhen Dobot,ai,18C,2024-12-23,2024Q4,0,深圳,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1213/2024121300030_c.pdf,賈贇,2026-09-18,招股書（䈎184）寫明公司總部在深圳
